"","YR","MO","DY","HR","LAT","LON","IT","AT","SI","SST"
"412",2009,2,18,1200,-940,51,0,300,1,297
"413",2009,2,18,1500,-950,51,0,278,1,304
"414",2009,2,18,1800,-960,52,0,277,1,302
"415",2009,2,18,2100,-970,52,0,277,1,301
"416",2009,2,19,0,-980,52,0,277,1,302
"417",2009,2,19,300,-990,52,0,277,1,298
"418",2009,2,19,600,-1000,52,0,280,1,300
"419",2009,2,19,900,-1020,52,0,284,1,306
"420",2009,2,19,1200,-1000,52,0,320,1,306
"421",2009,2,19,1500,-980,52,0,289,1,305
"422",2009,2,19,1800,-960,52,0,284,1,306
"423",2009,2,19,2100,-930,52,0,283,1,305
"424",2009,2,20,0,-910,52,0,279,1,303
"425",2009,2,20,300,-890,52,0,278,1,302
"426",2009,2,20,600,-870,52,0,285,1,303
"427",2009,2,20,900,-880,52,0,282,1,306
"428",2009,2,20,1200,-890,52,0,320,1,311
"429",2009,2,20,1500,-890,52,0,291,1,314
"430",2009,2,20,1800,-890,52,0,288,1,310
"431",2009,2,20,2100,-880,52,0,287,1,306
"432",2009,2,21,0,-910,52,0,285,1,307
"433",2009,2,21,300,-930,51,0,284,1,308
"434",2009,2,21,600,-930,51,0,294,1,306
"435",2009,2,21,900,-930,51,0,294,1,309
"436",2009,2,21,1200,-930,51,0,320,1,306
"437",2009,2,21,1500,-930,51,0,286,1,307
"438",2009,2,21,1800,-920,51,0,287,1,306
"439",2009,2,21,2100,-920,51,0,286,1,305
"440",2009,2,22,0,-930,51,0,283,1,307
"441",2009,2,22,300,-960,51,0,280,1,307
"442",2009,2,22,600,-980,52,0,288,1,304
"443",2009,2,22,900,-1000,52,0,290,1,305
"444",2009,2,22,1200,-1000,52,0,320,1,305
"445",2009,2,22,1500,-1000,52,0,290,1,308
"446",2009,2,22,1800,-1000,52,0,282,1,307
"447",2009,2,22,2100,-1000,52,0,280,1,304
"448",2009,2,23,300,-1000,52,0,284,1,299
"449",2009,2,23,600,-1010,52,0,278,1,302
"450",2009,2,23,900,-1020,52,0,285,1,305
"451",2009,2,23,1200,-1020,52,0,320,1,307
"452",2009,2,23,1500,-1020,52,0,285,1,302
"453",2009,2,23,1800,-1020,52,0,291,1,301
"454",2009,2,23,2100,-1020,51,0,281,1,305
"455",2009,2,24,300,-1030,51,0,254,1,298
"456",2009,2,24,600,-1010,51,0,261,1,324
"457",2009,2,24,900,-990,51,0,271,1,301
"458",2009,2,24,1200,-980,51,0,310,1,300
"459",2009,2,24,1500,-960,50,0,261,1,302
"460",2009,2,24,1800,-950,50,0,263,1,298
"461",2009,2,24,2100,-960,50,0,267,1,300
"462",2009,2,25,300,-930,50,0,257,1,299
"463",2009,2,25,600,-930,50,0,260,1,296
"464",2009,2,25,900,-930,51,0,263,1,299
